INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Bat To Exe Converter version 3.0.9', 'version': '3.0.9', 'vendor': 'Fatih Kodak'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Bat To Exe Converter version 3.0.9 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Beyond Compare 4.2.10', 'version': '4.2.10.23938', 'vendor': 'Scooter Software'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Beyond Compare 4.2.10 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Beyond Compare 4.3.4', 'version': '4.3.4.24657', 'vendor': 'Scooter Software'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Beyond Compare 4.3.4 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Bonjour', 'version': '3.0.0.10', 'vendor': 'Apple Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Bonjour has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'CAJViewer', 'version': '7.3.1', 'vendor': 'TTKN'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - CAJViewer has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'CCProxy 8.0', 'version': '', 'vendor': 'Youngzsoft, Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - CCProxy 8.0 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Charles 4.2.8', 'version': '4.2.8.2', 'vendor': 'XK72 Ltd'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Charles 4.2.8 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'CMake', 'version': '3.14.5', 'vendor': 'Kitware'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - CMake has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'DeskPins', 'version': '1.32', 'vendor': 'Elias Fotinis'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - DeskPins has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'EDR终端防护中心', 'version': '3.2.21', 'vendor': 'Sangfor Technologies Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - EDR终端防护中心 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'emgucv-windesktop 3.4.1.2976', 'version': '3.4.1.2976', 'vendor': 'Emgu Corporation'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - emgucv-windesktop 3.4.1.2976 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'emgucv-windesktop-icc-tbb-ipp 3.4.3.3016', 'version': '3.4.3.3016', 'vendor': 'Emgu Corporation'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - emgucv-windesktop-icc-tbb-ipp 3.4.3.3016 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Entity Framework 6.1.3 Tools  for Visual Studio 2013', 'version': '12.0.40302.0', 'vendor': 'Microsoft Corporation'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Entity Framework 6.1.3 Tools  for Visual Studio 2013 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Entity Framework Tools for Visual Studio 2013', 'version': '12.0.20912.0', 'vendor': 'Microsoft Corporation'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Entity Framework Tools for Visual Studio 2013 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'ET199 (仅用做移除)', 'version': '', 'vendor': ''}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - ET199 (仅用做移除) has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Everything 1.4.1.969 (x64)', 'version': '1.4.1.969', 'vendor': 'David Carpenter'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Everything 1.4.1.969 (x64) has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'EverywhereLan 版本 1.0.15', 'version': '1.0.15', 'vendor': 'SAXA'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - EverywhereLan 版本 1.0.15 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'FileZilla Client 3.34.0-rc1', 'version': '3.34.0-rc1', 'vendor': 'Tim Kosse'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - FileZilla Client 3.34.0-rc1 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'FileZilla Client 3.43.0', 'version': '3.43.0', 'vendor': 'Tim Kosse'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - FileZilla Client 3.43.0 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'FileZilla Server', 'version': 'beta 0.9.60', 'vendor': 'FileZilla Project'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - FileZilla Server has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'FileZilla Server (remove only)', 'version': '', 'vendor': ''}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - FileZilla Server (remove only) has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'FortiClient', 'version': '6.0.9.0277', 'vendor': 'Fortinet Technologies Inc'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - FortiClient has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Foxmail', 'version': '7.2', 'vendor': '腾讯公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Foxmail has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Foxmail', 'version': '7.2.11.303', 'vendor': '腾讯公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Foxmail has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Foxmail', 'version': '7.2.15.80', 'vendor': '腾讯公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Foxmail has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Foxmail', 'version': '7.2.17.58', 'vendor': '腾讯公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Foxmail has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Foxmail', 'version': '7.2.18.111', 'vendor': '腾讯公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Foxmail has a record
